n_tenants,n_nodes,iterations,satisfaction,nodes_used,elapsed_s
2,4,1,1.0,4,0.000262
2,16,1,1.0,16,0.000398
2,64,1,1.0,64,0.000596
2,256,1,1.0,256,0.001696
2,512,1,1.0,512,0.003163
2,1024,1,1.0,1024,0.006441
8,16,1,1.0,16,0.000551
8,64,1,1.0,64,0.000724
8,256,1,1.0,256,0.002063
8,512,1,1.0,512,0.003565
8,1024,1,1.0,1024,0.00772
128,256,16,1.0,256,0.024221
128,512,16,1.0,512,0.059401
128,1024,16,1.0,1024,0.08742
256,256,32,1.0,256,0.047377
256,512,32,1.0,512,0.148034
256,1024,32,1.0,1024,0.276467
512,512,64,1.0,512,0.222279
512,1024,64,1.0,1024,0.473847
