iteration,active_tenants,active_nodes,demand_placed,tenants_completed,nodes_evicted,nodes_provisioned,elapsed_s
1,8,64,52.972868,8,0,0,0.0006
2,8,64,46.343722,8,0,0,0.0009
3,8,64,42.96837,8,0,0,0.0011
4,8,64,46.894423,8,0,0,0.0013
5,8,64,47.617482,8,0,0,0.0015
6,8,64,50.216704,8,0,0,0.0017
7,8,64,46.12775,8,0,0,0.0019
8,8,64,49.304827,8,0,0,0.0021
9,8,64,38.576776,8,0,0,0.0023
10,8,64,49.398719,8,0,0,0.0026
11,8,64,51.683035,8,0,0,0.0028
12,8,64,50.087318,8,0,0,0.003
13,8,64,50.620953,8,0,0,0.0032
14,8,64,48.241455,8,0,0,0.0034
15,8,64,45.806584,8,0,0,0.0036
16,8,64,48.908008,8,0,0,0.0038
