n_tenants,n_nodes,n_periods,n_vars,n_constrs,build_s,solve_s,total_s,mip_gap,status
8,4,4,0,0,0.0,0.0,0.0,,SKIP
128,4,4,0,0,0.0,0.0,0.0,,SKIP
128,16,4,0,0,0.0,0.0,0.0,,SKIP
128,64,4,0,0,0.0,0.0,0.0,,SKIP
256,4,4,0,0,0.0,0.0,0.0,,SKIP
256,16,4,0,0,0.0,0.0,0.0,,SKIP
256,64,4,0,0,0.0,0.0,0.0,,SKIP
512,4,4,0,0,0.0,0.0,0.0,,SKIP
512,16,4,0,0,0.0,0.0,0.0,,SKIP
512,64,4,0,0,0.0,0.0,0.0,,SKIP
512,256,4,0,0,0.0,0.0,0.0,,SKIP
8,16,4,1289,0,0.4761,0.126,0.6021,0.0,OPT
2,4,4,83,0,0.0074,0.017,0.0244,0.0,OPT
2,64,4,1313,0,0.3363,0.056,0.3923,0.0,OPT
2,16,4,329,0,0.0225,0.018,0.0405,0.0,OPT
8,64,4,5153,0,17.5582,0.201,17.7592,0.0,OPT
2,256,4,5249,0,22.4645,0.173,22.6375,0.0,OPT
2,512,4,10497,0,31.5293,0.418,31.9473,0.0,OPT
2,1024,4,20993,0,35.9546,0.694,36.6486,0.0,OPT
8,256,4,20609,0,37.0817,0.856,37.9377,0.0,OPT
8,512,4,41217,0,64.4976,1.994,66.4916,0.0,OPT
8,1024,4,82433,0,62.3094,4.382,66.6914,0.0,OPT
128,256,4,241793,0,169.8998,168.421,338.3208,0.0,OPT
128,512,4,483585,0,284.3665,300.659,585.0255,inf,TLim
256,256,4,477313,0,367.9928,301.649,669.6418,inf,TLim
128,1024,4,967169,0,491.1752,300.555,791.7302,inf,TLim
256,512,4,954625,0,552.7488,301.49,854.2388,inf,TLim
256,1024,4,1909249,0,816.6483,300.247,1116.8953,inf,TLim
512,512,4,1898753,0,1035.0932,305.047,1340.1402,inf,TLim
512,1024,4,3797505,0,1431.9938,371.739,1803.7328,inf,TLim
