n_jobs,n_nodes,batch_jobs,batch_nodes,solver,elapsed_ms,placed_frac,n_vars,iterations
16,4,8,8,GUROBI,511.667,1.0,64,2
16,4,16,16,GUROBI,31.522,1.0,64,1
16,4,32,32,GUROBI,31.227,1.0,64,1
16,4,64,64,GUROBI,30.681,1.0,64,1
16,16,8,8,GUROBI,31.142,1.0,256,2
16,16,16,16,GUROBI,30.408,1.0,256,1
16,16,32,32,GUROBI,30.473,1.0,256,1
16,16,64,64,GUROBI,30.098,1.0,256,1
16,64,8,8,GUROBI,30.252,1.0,1024,2
16,64,16,16,GUROBI,15.533,1.0,1024,1
16,64,32,32,GUROBI,14.959,1.0,1024,1
16,64,64,64,GUROBI,31.174,1.0,1024,1
16,256,8,8,GUROBI,44.497,1.0,4096,2
16,256,16,16,GUROBI,30.031,1.0,4096,1
16,256,32,32,GUROBI,28.879,1.0,4096,1
16,256,64,64,GUROBI,29.573,1.0,4096,1
16,512,8,8,GUROBI,46.201,1.0,8192,2
16,512,16,16,GUROBI,28.869,1.0,8192,1
16,512,32,32,GUROBI,30.146,1.0,8192,1
16,512,64,64,GUROBI,28.817,1.0,8192,1
16,1024,8,8,GUROBI,44.505,1.0,16384,2
16,1024,16,16,GUROBI,29.443,1.0,16384,1
16,1024,32,32,GUROBI,27.668,1.0,16384,1
16,1024,64,64,GUROBI,28.569,1.0,16384,1
64,16,8,8,GUROBI,141.68,1.0,1024,8
64,16,16,16,GUROBI,106.982,1.0,1024,4
64,16,32,32,GUROBI,1780.309,1.0,1024,2
64,16,64,64,GUROBI,10124.261,1.0,1024,1
64,64,8,8,GUROBI,170.941,1.0,4096,8
64,64,16,16,GUROBI,186.743,1.0,4096,4
64,64,32,32,GUROBI,92.82,1.0,4096,2
64,64,64,64,GUROBI,62.136,1.0,4096,1
64,256,8,8,GUROBI,139.818,1.0,16384,8
64,256,16,16,GUROBI,91.591,1.0,16384,4
64,256,32,32,GUROBI,89.32,1.0,16384,2
64,256,64,64,GUROBI,123.565,1.0,16384,1
64,512,8,8,GUROBI,154.626,1.0,32768,8
64,512,16,16,GUROBI,123.136,1.0,32768,4
64,512,32,32,GUROBI,89.98,1.0,32768,2
64,512,64,64,GUROBI,44.942,1.0,32768,1
64,1024,8,8,GUROBI,140.087,1.0,65536,8
64,1024,16,16,GUROBI,138.318,1.0,65536,4
64,1024,32,32,GUROBI,353.905,1.0,65536,2
64,1024,64,64,GUROBI,215.132,1.0,65536,1
256,64,8,8,GUROBI,574.984,1.0,16384,32
256,64,16,16,GUROBI,561.964,1.0,16384,16
256,64,32,32,GUROBI,1606.807,1.0,16384,8
256,64,64,64,GUROBI,13986.544,1.0,16384,4
256,256,8,8,GUROBI,551.027,1.0,65536,32
256,256,16,16,GUROBI,453.275,1.0,65536,16
256,256,32,32,GUROBI,3289.121,1.0,65536,8
256,256,64,64,GUROBI,2108.306,1.0,65536,4
256,512,8,8,GUROBI,682.416,1.0,131072,32
256,512,16,16,GUROBI,363.239,1.0,131072,16
256,512,32,32,GUROBI,11017.505,1.0,131072,8
256,512,64,64,GUROBI,3144.535,1.0,131072,4
256,1024,8,8,GUROBI,946.267,1.0,262144,32
256,1024,16,16,GUROBI,528.17,1.0,262144,16
256,1024,32,32,GUROBI,11346.174,1.0,262144,8
256,1024,64,64,GUROBI,6305.854,1.0,262144,4
1024,256,8,8,GUROBI,3398.012,1.0,262144,128
1024,256,16,16,GUROBI,2009.332,1.0,262144,64
1024,256,32,32,GUROBI,5283.957,1.0,262144,32
1024,256,64,64,GUROBI,34116.847,1.0,262144,16
1024,512,8,8,GUROBI,3872.405,1.0,524288,128
1024,512,16,16,GUROBI,2387.594,1.0,524288,64
1024,512,32,32,GUROBI,18181.536,1.0,524288,32
1024,512,64,64,GUROBI,63387.548,1.0,524288,16
1024,1024,8,8,GUROBI,3950.113,1.0,1048576,128
1024,1024,16,16,GUROBI,2334.055,1.0,1048576,64
1024,1024,32,32,GUROBI,18083.016,1.0,1048576,32
1024,1024,64,64,GUROBI,33974.27,1.0,1048576,16
