n_jobs,n_nodes,n_vars,solver,solve_ms,placed_frac,capped
64,16,1024,GLOP,89.971,1.0,N
16,64,1024,GLOP,231.754,1.0,N
16,256,4096,GLOP,308.085,1.0,N
16,16,256,CBC,668.666,1.0,N
64,64,4096,GLOP,868.557,1.0,N
16,4,64,CBC,1588.162,1.0,N
256,64,16384,GLOP,2002.099,1.0,N
16,512,8192,GLOP,2467.637,1.0,N
16,1024,16384,GLOP,3365.767,1.0,N
64,256,16384,GLOP,3701.031,1.0,N
64,512,32768,GLOP,5960.213,1.0,N
256,256,65536,GLOP,7595.13,1.0,N
64,1024,65536,GLOP,7701.298,1.0,N
256,512,131072,GLOP,12123.675,1.0,N
256,1024,262144,GLOP,21457.868,1.0,N
1024,256,262144,GLOP,26009.03,1.0,N
1024,512,524288,GLOP,38657.252,1.0,N
1024,1024,1048576,GLOP,52643.15,1.0,N
