k_window,jobs_per_round,placement_rate,total_generated,total_placed,final_queue,total_violations,total_spikes,total_overflows,avg_eff_mem_pct,avg_phys_mem_pct,avg_wait_sec,wait_spread_sec,total_solver_calls,run_time_sec
5,10,1.0,100,100,0,0,11,0,37.75,31.9,0.0,0.0,10,0.376
5,25,1.0,250,250,0,2,29,0,67.44,57.07,0.0,0.0,10,31.961
5,50,0.762,500,381,119,5,40,0,88.43,74.96,4.0,12.0,41,69.113
5,100,0.427,1000,427,573,3,46,0,96.15,81.52,164.0,192.0,53,96.863
10,10,1.0,100,100,0,0,11,0,37.75,31.9,0.0,0.0,10,1.099
10,25,1.0,250,250,0,2,29,0,67.29,56.94,0.0,0.0,10,42.451
10,50,0.742,500,371,129,5,38,0,88.06,74.65,4.0,12.0,44,64.447
10,100,0.425,1000,425,575,3,50,0,95.66,81.11,254.0,36.0,53,92.762
20,10,1.0,100,100,0,0,11,0,37.75,31.9,0.0,0.0,10,0.388
20,25,1.0,250,250,0,2,29,0,67.28,56.94,0.0,0.0,10,35.345
20,50,0.742,500,371,129,5,38,0,88.12,74.7,12.0,18.0,44,70.452
20,100,0.425,1000,425,575,3,48,0,95.81,81.23,257.0,87.0,56,95.392
30,10,1.0,100,100,0,0,11,0,37.75,31.9,0.0,0.0,10,0.84
30,25,1.0,250,250,0,2,29,0,67.29,56.95,0.0,0.0,10,42.442
30,50,0.748,500,374,126,5,39,0,88.15,74.72,34.67,90.0,44,81472.427
30,100,0.428,1000,428,572,3,48,0,95.8,81.23,249.33,98.0,56,97.804
